"campo"                             ;"descricao"                                                                         ;"resposta"
"cd_ibge"                           ;"codigo do ibge do municipio"                                                       ;
"cod_familiar_fam"                  ;"Codigo familiar"                                                                   ;""
"dat_cadastramento_fam"             ;"Data de cadastramento da familia"                                                  ;""
"dat_atual_fam"                     ;"Data da ultima atualizacao da familia"                                             ;""
"cod_est_cadastral_fam"             ;"Estado cadastral da familia"                                                       ;"2 - Sem Registro Civil#3 - Cadastrado"
"cod_forma_coleta_fam"              ;"Forma de coleta"                                                                   ;"0 - Informacao migrada como inexistente#1 - Sem visita Domiciliar#2 - Com visita domiciliar"
"dta_entrevista_fam"                ;"Data da entrevista"                                                                ;""
"nom_localidade_fam"                ;"Nome da localidade"                                                                ;""
"nom_tip_logradouro_fam"            ;"Tipo de logradouro"                                                                ;""
"nom_titulo_logradouro_fam"         ;"Titulo do logradouro"                                                              ;""
"nom_logradouro_fam"                ;"Nome do logradouro"                                                                ;""
"num_logradouro_fam"                ;"Numero do logradouro"                                                              ;""
"des_complemento_fam"               ;"Complemento do numero"                                                             ;""
"des_complemento_adic_fam"          ;"Complemento adicional"                                                             ;""
"num_cep_logradouro_fam"            ;"CEP"                                                                               ;""
"cod_unidade_territorial_fam"       ;"Codigo da unidade territorial local"                                               ;""
"nom_unidade_territorial_fam"       ;"Nome da unidade territorial local"                                                 ;""
"txt_referencia_local_fam"          ;"Referencia para localizacao do endereco"                                           ;""
"nom_entrevistador_fam"             ;"Nome do entrevistador"                                                             ;""
"num_cpf_entrevistador_fam"         ;"CPF do entrevistador"                                                              ;""
"vlr_renda_media_fam"               ;"Valor da renda familiar per capita"                                                ;""
"fx_rfpc"                           ;"Faixa da renda familiar per capita"                                                ;"1-Ate R$89,00#2-Entre R$85,01 ate R$178,00#3-Entre R$178,01 ate 1/2 S.M.#4-Acima de 1/2 S.M."
"vlr_renda_total_fam"               ;"Valor da renda total da familia"                                                   ;""
"marc_pbf"                          ;"Recebe PBF pessoa"                                                                 ;"0 - Nao#1 - Sim"
"qtde_meses_desat_cat"              ;"Numero de meses apos a ultima atualizacao cadastral"                               ;"0 - ate 12 Meses#1 - 13 a 18 Meses#2 - 19 a 24 Meses#3 - 25 a 36 Meses#4 - 37 a 48 Meses#5 - acima de 48 Meses"
"cod_local_domic_fam"               ;"Situacao do domicilio"                                                             ;"1 - Urbanas#2 - Rurais"
"cod_especie_domic_fam"             ;"Especie do domicilio"                                                              ;"1 - Particular Permanente#2 - Particular improvisado#3 - Coletivo"
"qtd_comodos_domic_fam"             ;"Quantidade de comodos do domicilio"                                                ;""
"qtd_comodos_dormitorio_fam"        ;"Comodo servindo como dormitorio do domicilio"                                      ;""
"cod_material_piso_fam"             ;"Material predominante no piso do domicilio"                                        ;"1 - Terra#2 - Cimento#3 -aplicacoes.mds.gov.br/sagi/simulacao/cecadAdm/ Madeira aproveitada#4 - Madeira aparelhada#5 - Ceramica, lajota ou pedra#6 - Carpete#7 - Outro Material"
"cod_material_domic_fam"            ;"Material predominante nas paredes externas do domicilio"                           ;"1 - Alvenaria/tijolo com revestimento#2 - Alvenaria/tijolo sem revestimento#3 - Madeira aparelhada#4 - Taipa revestida#5 - Taipa nao revestida#6 - Madeira aproveitada#7 - Palha#8 - Outro Material"
"cod_agua_canalizada_fam"           ;"Água canalizada no domicilio"                                                      ;"1 - Sim#2 - Nao"
"cod_abaste_agua_domic_fam"         ;"Forma de abastecimento de agua"                                                    ;"1 - Rede geral de distribuicao#2 - Poco ou nascente#3 - Cisterna#4 - Outra forma"
"cod_banheiro_domic_fam"            ;"Existencia de banheiro"                                                            ;"1 - Sim#2 - Nao"
"cod_escoa_sanitario_domic_fam"     ;"Forma de escoamento sanitario"                                                     ;"1 - Rede coletora de esgoto ou pluvial#2 - Fossa septica#3 - Fossa rudimentar#4 - Vala a ceu aberto#5 - Direto para um rio, lago ou mar#6 - Outra forma"
"cod_destino_lixo_domic_fam"        ;"Forma de coleta do lixo"                                                           ;"1 - E coletado diretamente#2 - E coletado indiretamente#3 - E queimado ou enterrado na propriedade#4 - E jogado em terreno baldio ou logradouro (rua, avenida, etc.)#5 - E jogado em rio ou mar#6 - Tem outro destino"
"cod_iluminacao_domic_fam"          ;"Tipo de iluminacao"                                                                ;"1 - Eletrica com medidor proprio#2 - Eletrica com medidor comunitario#3 - Eletrica sem medidor#4 - Oleo, querosene ou gas#5 - Vela#6 - Outra forma"
"cod_calcamento_domic_fam"          ;"Calcamento em frente ao seu domicilio"                                             ;"1 - Total#2 - Parcial#3 - Nao existe"
"cod_familia_indigena_fam"          ;"Familia Indigena"                                                                  ;"1 - Sim#2 - Nao"
"cod_povo_indigena_fam"             ;"Codigo de povo indigena"                                                           ;""
"nom_povo_indigena_fam"             ;"Nome do povo indigena"                                                             ;""
"cod_indigena_reside_fam"           ;"Reside em reserva indigena"                                                        ;"1 - Sim#2 - Nao"
"cod_reserva_indigena_fam"          ;"Codigo da reserva indigena"                                                        ;""
"nom_reserva_indigena_fam"          ;"Nome da reserva indigena"                                                          ;""
"ind_familia_quilombola_fam"        ;"Familia quilombola  "                                                              ;"1 - Sim#2 - Nao"
"cod_comunidade_quilombola_fam"     ;"Codigo da comunidade quilombola"                                                   ;""
"nom_comunidade_quilombola_fam"     ;"Nome da comunidade quilombola"                                                     ;""
"qtd_pessoas_domic_fam"             ;"Quantidade de pessoas no domicilio"                                                ;""
"qtd_familias_domic_fam"            ;"Quantidade de familias no domicilio"                                               ;""
"qtd_pessoa_inter_0_17_anos_fam"    ;"Quantidade de pessoas internadas faixa 0-17 anos"                                  ;""
"qtd_pessoa_inter_18_64_anos_fam"   ;"Quantidade de pessoas internadas faixa 18-59 anos"                                 ;""
"qtd_pessoa_inter_65_anos_fam"      ;"Quantidade de pessoas internadas faixa 60 anos ou mais"                            ;""
"val_desp_energia_fam"              ;"Valor de despesas com energia"                                                     ;""
"val_desp_agua_esgoto_fam"          ;"Valor de despesas com agua"                                                        ;""
"val_desp_gas_fam"                  ;"Valor de despesas com gas"                                                         ;""
"val_desp_alimentacao_fam"          ;"Valor de despesas com alimentacao"                                                 ;""
"val_desp_transpor_fam"             ;"Valor de despesas com transporte"                                                  ;""
"val_desp_aluguel_fam"              ;"Valor de despesas com aluguel"                                                     ;""
"val_desp_medicamentos_fam"         ;"Valor de despesas com medicamentos"                                                ;""
"nom_estab_assist_saude_fam"        ;"Nome do estabelecimento EAS/MS"                                                    ;""
"cod_eas_fam"                       ;"Codigo do estabelecimento EAS/MS"                                                  ;""
"nom_centro_assist_fam"             ;"Nome do CRAS/CREAS"                                                                ;""
"cod_centro_assist_fam"             ;"Codigo do CRAS/CREAS"                                                              ;""
"cod_est_cadastral_memb"            ;"Estado cadastral da pessoa"                                                        ;"2 - Sem Registro Civil#3 - Cadastrado#5 - Aguardando NIS#6 - Validando NIS"
"ind_trabalho_infantil_pessoa"      ;"Pessoa com marcacao de trabalho infantil"                                          ;"1 - Sim#2 - Nao"
"nom_pessoa"                        ;"Nome"                                                                              ;""
"num_nis_pessoa_atual"              ;"NIS"                                                                               ;""
"nom_apelido_pessoa"                ;"Apelido/Nome Social"                                                               ;""
"cod_sexo_pessoa"                   ;"Sexo"                                                                              ;"1 - Masculino#2 - Feminino"
"dta_nasc_pessoa"                   ;"Data de nascimento"                                                                ;""
"cod_parentesco_rf_pessoa"          ;"Relacao de parentesco com o responsavel familiar"                                  ;"1 - Pessoa Responsavel pela Unidade Familiar - RF#2 - Conjuge ou companheiro(a)#3 - Filho(a)#4 - Enteado(a)#5 - Neto(a) ou bisneto(a)#6 - Pai ou mae#7 - Sogro(a)#8 - Irmao ou irma#9 - Genro ou nora#10 - Outro parente#11 - Nao parente"
"cod_raca_cor_pessoa"               ;"Cor ou raca"                                                                       ;"1 - Branca#2 - Preta#3 - Amarela#4 - Parda#5 - Indigena"
"nom_completo_mae_pessoa"           ;"Nome da mae "                                                                      ;""
"nom_completo_pai_pessoa"           ;"Nome do pai"                                                                       ;""
"cod_local_nascimento_pessoa"       ;"Local de nascimento"                                                               ;"1 - Neste municipio#2 - Em outro municipio#3 - Em outro pais"
"sig_uf_munic_nasc_pessoa"          ;"UF de nascimento da pessoa"                                                        ;""
"nom_ibge_munic_nasc_pessoa"        ;"Nome do municipio de nascimento da pessoa"                                         ;""
"cod_ibge_munic_nasc_pessoa"        ;"Codigo ibge do municipio de nascimento da pessoa"                                  ;""
"nom_pais_origem_pessoa"            ;"Nome do pais de nascimento da pessoa"                                              ;""
"cod_pais_origem_pessoa"            ;"Codigo do pais de nascimento da pessoa, no formato nn"                             ;""
"cod_certidao_registrada_pessoa"    ;"Nascimento registrado em Cartorio"                                                 ;"1 - Sim e tem Certidao de Nascimento#2 - Sim, mas nao tem Certidao de Nascimento#3 - Nao#4 - Nao sabe"
"fx_idade"                          ;"Faixa etaria"                                                                      ;"0-Entre 0 e 4 #1-Entre 5 a 6 #2-Entre 7 a 15 # 3-Entre 16 a 17 #4-Entre 18 a 24 #5-Entre 25 a 34 #6-Entre 35 a 39 #7-Entre 40 a 44 #8-Entre 45 a 49 #9-Entre 50 a 54 #10-Entre 55 a 59 #11-Entre 60 a 64 #12- Maior que  65"
"cod_certidao_civil_pessoa"         ;"Tipo de certidao"                                                                  ;"1 - Nascimento#2 - Casamento#3 - RANI"
"cod_livro_termo_certid_pessoa"     ;"Numero do livro"                                                                   ;""
"cod_folha_termo_certid_pessoa"     ;"Numero da folha"                                                                   ;""
"cod_termo_matricula_certid_pessoa" ;"Numero do termo"                                                                   ;""
"nom_munic_certid_pessoa"           ;"Municipio do registro"                                                             ;""
"cod_ibge_munic_certid_pessoa"      ;"Codigo IBGE do municipio do registro"                                              ;""
"cod_cartorio_certid_pessoa"        ;"Codigo do cartorio do registro"                                                    ;""
"num_cpf_pessoa"                    ;"CPF da pessoa"                                                                     ;""
"num_identidade_pessoa"             ;"Numero do RG"                                                                      ;""
"cod_complemento_pessoa"            ;"Complemento do numero do RG"                                                       ;""
"dta_emissao_ident_pessoa"          ;"Data de emissao do RG (formato DDMMAAAA)"                                          ;""
"sig_uf_ident_pessoa"               ;"Estado emissor do RG"                                                              ;""
"sig_orgao_emissor_pessoa"          ;"Sigla do orgao emissor do RG"                                                      ;""
"num_cart_trab_prev_soc_pessoa"     ;"Numero da CTPS"                                                                    ;""
"num_serie_trab_prev_soc_pessoa"    ;"Serie da CTPS"                                                                     ;""
"dta_emissao_cart_trab_pessoa"      ;"Data de emissao da CTPS (formato DDMMAAAA)"                                        ;""
"sig_uf_cart_trab_pessoa"           ;"Estado emissor da CTPS"                                                            ;""
"num_titulo_eleitor_pessoa"         ;"Numero do Titulo de Eleitor"                                                       ;""
"num_zona_tit_eleitor_pessoa"       ;"Zona do Titulo de Eleitor"                                                         ;""
"num_secao_tit_eleitor_pessoa"      ;"Secao do Titulo de Eleitor"                                                        ;""
"cod_deficiencia_memb"              ;"Pessoa tem deficiencia?"                                                           ;"1 - Sim#2 - Nao"
"ind_def_cegueira_memb"             ;"Cegueira"                                                                          ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_def_baixa_visao_memb"          ;"Baixa visao"                                                                       ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_def_surdez_profunda_memb"      ;"Surdez severa/profunda"                                                            ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_def_surdez_leve_memb"          ;"Surdez leve/moderada"                                                              ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_def_fisica_memb"               ;"Deficiencia fisica"                                                                ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_def_mental_memb"               ;"Deficiencia mental ou intelectual"                                                 ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_def_sindrome_down_memb"        ;"Sindrome de Down"                                                                  ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_def_transtorno_mental_memb"    ;"Transtorno/doenca mental"                                                          ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_ajuda_nao_memb"                ;"Nao recebe ajuda de terceiros"                                                     ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_ajuda_familia_memb"            ;"Recebe ajuda de alguem da familia"                                                 ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_ajuda_especializado_memb"      ;"Recebe ajuda de cuidador especializado"                                            ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_ajuda_vizinho_memb"            ;"Recebe ajuda de vizinho"                                                           ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_ajuda_instituicao_memb"        ;"Recebe ajuda de instituicao"                                                       ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"ind_ajuda_outra_memb"              ;"Recebe ajuda de outra forma"                                                       ;"0 - Opcao nao marcada no formulario#1 - Opcao marcada no formulario"
"cod_sabe_ler_escrever_memb"        ;"Pessoa sabe ler e escrever"                                                        ;"1 - Sim#2 - Nao"
"ind_frequenta_escola_memb"         ;"Pessoa frequenta escola"                                                           ;"1 - Sim, rede publica#2 - Sim, rede particular#3 - Nao, ja frequentou#4 - Nunca frequentou"
"nom_escola_memb"                   ;"Nome da escola da pessoa"                                                          ;""
"cod_escola_local_memb"             ;"Escola localizada no municipio"                                                    ;"1 - Sim#2 - Nao"
"sig_uf_escola_memb"                ;"UF da escola da pessoa"                                                            ;""
"nom_munic_escola_memb"             ;"Nome do municipio da escola da pessoa"                                             ;""
"cod_ibge_munic_escola_memb"        ;"Codigo do ibge do municipio da escola da pessoa"                                   ;""
"cod_censo_inep_memb"               ;"Codigo INEP da escola da pessoa"                                                   ;""
"cod_curso_frequenta_memb"          ;"Curso que a pessoa frequenta"                                                      ;"1 - Creche#2 - Pre-escola (exceto CA)#3 - Classe de Alfabetizacao - CA#4 - Ensino Fundamental regular (duracao 8 anos)#5 - Ensino Fundamental regular (duracao 9 anos)#6 - Ensino Fundamental especial#7 - Ensino Medio regular#8 - Ensino Medio especial#9 - Ensino Fundamental EJA - series iniciais (Supletivo - 1ª a 4ª)#10 - Ensino Fundamental EJA - series finais (Supletivo - 5ª a 8ª)#11 - Ensino Medio EJA (Supletivo)#12 - Alfabetizacao para adultos(Mobral, etc.)#13 - Superior, Aperfeicoamento,Especializacao, Mestrado,Doutorado#14 - Pre-vestibular"
"cod_ano_serie_frequenta_memb"      ;"Ano e serie do curso que a pessoa frequenta"                                       ;"1 - Primeiro(a)#2 - Segundo(a)#3 - Terceiro(a)#4 - Quarto(a)#5 - Quinto(a)#6 - Sexto(a)#7 - Setimo(a)#8 - Oitavo(a)#9 - Nono(a)#10 - Curso nao-seriado"
"cod_curso_frequentou_pessoa_memb"  ;"Curso mais elevado que a pessoa frequentou"                                        ;"1 - Creche#2 - Pre-escola (exceto CA)#3 - Classe de Alfabetizacao - CA#4 - Ensino Fundamental 1ª a 4ª series, Elementar (Primario), Primeira fase do 1º grau#5 - Ensino Fundamental 5ª a 8ª series, Medio 1º ciclo (Ginasial), Segunda fase do 1º grau#6 - Ensino Fundamental (duracao 9 anos)# 7 - Ensino Fundamental Especial#8 - Ensino Medio, 2º grau, Medio 2º ciclo (Cientifico, Classico, Tecnico, Normal)#9 - Ensino Medio Especial#10 - Ensino Fundamental EJA -series iniciais (Supletivo 1ª a 4ª)#11 - Ensino Fundamental EJA -series finais (Supletivo 5ª a 8ª)#12 - Ensino Medio EJA(Supletivo)#13 - Superior, Aperfeicoamento,Especializacao, Mestrado,Doutorado#14 - Alfabetizacao para Adultos(Mobral, etc.)#15 - Nenhum"
"cod_ano_serie_frequentou_memb"     ;"Ultimo ano e serie do curso que a pessoa frequentou"                               ;"1 - Primeiro(a)#2 - Segundo(a)#3 - Terceiro(a)#4 - Quarto(a)#5 - Quinto(a)#6 - Sexto(a)#7 - Setimo(a)#8 - Oitavo(a)#9 - Nono(a)#10 - Curso nao-seriado"
"cod_concluiu_frequentou_memb"      ;"A pessoa concluiu o curso?"                                                        ;"1 - Sim#2 - Nao"
"grau_instrucao"                    ;"Grau de instrucao"                                                                 ;"1 - Sem instrucao#2 - Fundamental incompleto#3 - Fundamental completo#4 - Medio incompleto#5 - Medio completo#6 - Superior incompleto ou mais "
"cod_trabalhou_memb"                ;"Pessoa trabalhou na semana passada?"                                               ;"1 - Sim#2 - Nao"
"cod_afastado_trab_memb"            ;"Pessoa estava afastada na semana passada?"                                         ;"1 - Sim#2 - Nao"
"cod_agricultura_trab_memb"         ;"Atividade extrativista"                                                            ;"1 - Sim#2 - Nao"
"cod_principal_trab_memb"           ;"Funcao principal"                                                                  ;"1 - Trabalhador por conta propria (bico, autonomo)#2 - Trabalhador temporario em area rural#3 - Empregado sem carteira de trabalho assinada#4 - Empregado com carteira de trabalho assinada#5 - Trabalhador domestico sem carteira de trabalho assinada#6 - Trab. domestico com cart. de trab. assinada#7 - Trabalhador nao-remunerado#8 - Militar ou servidor publico#9 - Empregador#10 - Estagiario#11 - Aprendiz"
"val_remuner_emprego_memb"          ;"Valor de remuneracao do mes passado do trabalho principal (sem casas decimais)"    ;""
"cod_trabalho_12_meses_memb"        ;"Trabalho remunerado nos ultimos 12 meses"                                          ;"1 - Sim#2 - Nao"
"qtd_meses_12_meses_memb"           ;"Quantidade de meses trabalhados nos ultimos 12 meses"                              ;""
"val_renda_bruta_12_meses_memb"     ;"Remuneracao bruta de todos os trabalhos nos ultimos 12 meses (sem casas decimais)" ;""
"val_renda_doacao_memb"             ;"Valor recebido de doacao (sem casas decimais)"                                     ;""
"val_renda_aposent_memb"            ;"Valor recebido de aposentadoria (sem casas decimais)"                              ;""
"val_renda_seguro_desemp_memb"      ;"Valor recebido de seguro desemprego (sem casas decimais)"                          ;""
"val_renda_pensao_alimen_memb"      ;"Valor recebido de pensao alimenticia (sem casas decimais)"                         ;""
"val_outras_rendas_memb"            ;"Valor recebido de outras fontes (sem casas decimais)"                              ;""
"num_ddd_contato_1_fam"             ;"DDD do telefone primario"                                                          ;""
"num_tel_contato_1_fam"             ;"Numero do telefone primario"                                                       ;""
"ic_tipo_contato_1_fam"             ;"Tipo do telefone primario"                                                         ;"L - Celular# C - Trabalho# R - Residencial# O - Recado# N- Nao tem# D - Nao declarado# S  - Sem coleta de dados."
"ic_envo_sms_contato_1_fam"         ;"Autoriza envio de mensagem para telefone primario"                                 ;"S - Sim#N - Nao"
"num_tel_contato_2_fam"             ;"Numero do telefone secundario"                                                     ;""
"num_ddd_contato_2_fam"             ;"DDD do telefone secundario"                                                        ;""
"ic_tipo_contato_2_fam"             ;"Tipo do telefone secundario"                                                       ;"L - Celular# C - Trabalho# R - Residencial# O - Recado# N- Nao tem# D - Nao declarado# S  - Sem coleta de dados."
"ic_envo_sms_contato_2_fam"         ;"Autoriza envio de mensagem para telefone secundario"                               ;"S - Sim#N - Nao"
"cod_cta_energ_unid_consum_fam"     ;"Codigo da unidade consumidora associado a conta de energia eletrica do domicilio." ;""
"ind_parc_mds_fam"                  ;"Grupos Populacionais Tradicionais e Especificos"                                   ;"101-Famlia Cigana#201-Familia Extrativista#202-Familia de Pescadores  Artesanais#203-Familia Pertencente a Comunidade de Terreiro#204-Familia Ribeirinha#205-Familia Agricultores Familiares#301-Familia Assentada da Reforma Agraria#302-Familia Beneficiaria do Programa Nacional do Credito Fundiario#303-Familia Acampada#304-Familia Atingida por Empreendimentos de Infraestrutura#305-Familia de Preso do Sistema Carcerario#306-Familia Catadores de Material Reciclavel#0-Nenhuma"
"marc_sit_rua"                      ;"Situacao de Rua"                                                                   ;"0 - Nao#1 - Sim"
"ind_dormir_rua_memb"               ;"Dorme na rua "                                                                     ;"0 - Nao#1 - Sim"
"qtd_dormir_freq_rua_memb"          ;"Quantidade de vezes por semana que dorme na rua "                                  ;""
"ind_dormir_albergue_memb"          ;"Dorme em albergue "                                                                ;"0 - Nao#1 - Sim"
"qtd_dormir_freq_albergue_memb"     ;"Quantidade de vezes por semana que dorme em albergue "                             ;""
"ind_dormir_dom_part_memb"          ;"Dorme em domicilio particular"                                                     ;"0 - Nao#1 - Sim"
"qtd_dormir_freq_dom_part_memb"     ;"Quantidade de vezes por semana que dorme em domicilio particular"                  ;""
"ind_outro_memb"                    ;"Dorme de outra forma"                                                              ;"0 - Nao#1 - Sim"
"qtd_freq_outro_memb"               ;"Quantidade de vezes por semana que dorme de outra forma"                           ;""
"cod_tempo_rua_memb"                ;"Tempo em que vive na rua"                                                          ;"1 - Ate seis meses#2 - Entre seis meses e um ano#3 - Entre um e dois anos#4 - Entre dois e cinco anos#5 - Entre cinco e dez anos#6 - Mais de dez anos"
"ind_motivo_perda_memb"             ;"Motivo da condicao de rua por perda de moradia "                                   ;"0 - Nao#1 - Sim"
"ind_motivo_ameaca_memb"            ;"Motivo da condicao de rua por ameaca "                                             ;"0 - Nao#1 - Sim"
"ind_motivo_probs_fam_memb"         ;"Motivo da condicao de rua por problemas familiares"                                ;"0 - Nao#1 - Sim"
"ind_motivo_alcool_memb"            ;"Motivo da condicao de rua por alcoolismo "                                         ;"0 - Nao#1 - Sim"
"ind_motivo_desemprego_memb"        ;"Motivo da condicao de rua por desemprego "                                         ;"0 - Nao#1 - Sim"
"ind_motivo_trabalho_memb"          ;"Motivo da condicao de rua por trabalho "                                           ;"0 - Nao#1 - Sim"
"ind_motivo_saude_memb"             ;"Motivo da condicao de rua por tratamento de saude "                                ;"0 - Nao#1 - Sim"
"ind_motivo_pref_memb"              ;"Motivo da condicao de rua por preferencia "                                        ;"0 - Nao#1 - Sim"
"ind_motivo_outro_memb"             ;"Motivo da condicao de rua por outro motivo"                                        ;"0 - Nao#1 - Sim"
"ind_motivo_nao_sabe_memb"          ;"Nao sabe/nao lembra o motivo da condicao de rua "                                  ;"0 - Nao#1 - Sim"
"ind_motivo_nao_resp_memb"          ;"Nao respondeu o motivo da condicao de rua"                                         ;"0 - Nao#1 - Sim"
"cod_tempo_cidade_memb"             ;"Tempo em que mora na cidade"                                                       ;"1 - Ate seis meses#2 - Entre seis meses e um ano#3 - Entre um e dois anos#4 - Entre dois e cinco anos#5 - Entre cinco e dez anos#6 - Mais de dez anos"
"cod_vive_fam_rua_memb"             ;"Vive com sua familia na rua"                                                       ;"1 - Sim#2 - Nao"
"cod_contato_parente_memb"          ;"Tem contato com parente fora da condicao de rua "                                  ;"1 - Todo dia#2 - Toda semana#3 - Todo mes#4 - Todo ano#5 - Quase nunca#6 - Nunca"
"ind_ativ_com_escola_memb"          ;"Atividade comunitaria em escola"                                                   ;"0 - Nao#1 - Sim"
"ind_ativ_com_coop_memb"            ;"Atividade comunitaria em cooperativa"                                              ;"0 - Nao#1 - Sim"
"ind_ativ_com_mov_soc_memb"         ;"Atividade comunitaria em movimento social "                                        ;"0 - Nao#1 - Sim"
"ind_ativ_com_nao_sabe_memb"        ;"Nao sabe se frequentou atividade comunitaria"                                      ;"0 - Nao#1 - Sim"
"ind_ativ_com_nao_resp_memb"        ;"Nao respondeu se frequentou atividade comunitaria"                                 ;"0 - Nao#1 - Sim"
"ind_atend_cras_memb"               ;"Atendido por cras "                                                                ;"0 - Nao#1 - Sim"
"ind_atend_creas_memb"              ;"Atendido por creas "                                                               ;"0 - Nao#1 - Sim"
"ind_atend_centro_ref_rua_memb"     ;"Atendido por centro ref pop rua"                                                   ;"0 - Nao#1 - Sim"
"ind_atend_inst_gov_memb"           ;"Atendido por instituicao governamental"                                            ;"0 - Nao#1 - Sim"
"ind_atend_inst_nao_gov_memb"       ;"Atendido por instituicao nao-governamental "                                       ;"0 - Nao#1 - Sim"
"ind_atend_hospital_geral_memb"     ;"Atendido por hospital/clinica geral"                                               ;"0 - Nao#1 - Sim"
"cod_cart_assinada_memb"            ;"Teve emprego com carteira assinada?"                                               ;"1 - Sim#2 - Nao#3 - Nao Sabe"
"ind_dinh_const_memb"               ;"Ganha dinheiro com construcao civil "                                              ;"0 - Nao#1 - Sim"
"ind_dinh_flanelhinha_memb"         ;"Ganha dinheiro como guardador de carro"                                            ;"0 - Nao#1 - Sim"
"ind_dinh_carregador_memb"          ;"Ganha dinheiro como carregador"                                                    ;"0 - Nao#1 - Sim"
"ind_dinh_catador_memb"             ;"Ganha dinheiro como catador"                                                       ;"0 - Nao#1 - Sim"
"ind_dinh_servs_gerais_memb"        ;"Ganha dinheiro com servicos gerais "                                               ;"0 - Nao#1 - Sim"
"ind_dinh_pede_memb"                ;"Ganha dinheiro como pedinte"                                                       ;"0 - Nao#1 - Sim"
"ind_dinh_vendas_memb"              ;"Ganha dinheiro com vendas"                                                         ;"0 - Nao#1 - Sim"
"ind_dinh_outro_memb"               ;"Ganha dinheiro de outra forma "                                                    ;"0 - Nao#1 - Sim"
"ind_dinh_nao_resp_memb"            ;"Nao respondeu como ganha dinheiro "                                                ;"0 - Nao#1 - Sim"
"ind_atend_nenhum_memb"             ;"Nao foi atendido por nenhum local"                                                 ;"0 - Nao#1 - Sim"
"ref_cad"                           ;"Referencia Cadastro Unico"                                                         ;""
"ref_pbf"                           ;"Referencia Programa Bolsa Familia"                                                 ;""
